"","timestamp_ros","timestamp_sys...Y.m.d.H.M.S..f.","latitude","longitude","depth","distance_to_ocean_floor","velX","velY","velZ","roll","pitch","yaw","navMode","acousticAltimeter","forwardStereo","battery_volts","altitudeUsed","cotsNumFound","cotsNumMaybe","missionState","errorState","storeData","storeImageData"
"1",1740497618,2.02502e+13,18.3505155,-64.69909083,0.2437,4.698354885,0,0,0.218069108,7.870773866,7.358640976,116.9212646,3,5.18200016,0.45724839,16.87,5.18200016,0,0,1,0,1,0
"11",1740497619,2.02502e+13,18.3505155,-64.69909083,0.0547,4.698354885,0,0,-0.192463337,-0.407514658,3.263923389,137.1414219,3,5.197999954,0.683950365,16.84,5.197999954,0,0,1,0,1,0
"21",1740497620,2.02502e+13,18.35051407,-64.69909119,0.0597,4.698354885,-0.197381238,-0.479870073,-0.004047407,2.133935848,1.767156266,-157.6416004,3,5.21600008,0.885400712,16.76,5.21600008,0,0,1,0,1,0
"31",1740497621,2.02502e+13,18.35050996,-64.69909775,0.0857,4.698354885,-0.970287711,-0.234052824,0.035021346,9.63593785,0.854994742,-103.5618471,3,5.21600008,0.788905919,16.9,5.21600008,0,0,1,0,1,0
"41",1740497622,2.02502e+13,18.35050774,-64.69910687,0.0857,4.698354885,-0.926123977,-0.362146774,0.035289178,6.034963502,-1.583122409,-111.3572714,3,5.193999767,2.031949282,16.73,5.193999767,0,0,1,0,1,0
"51",1740497623,2.02502e+13,18.35050453,-64.6991156,0.1777,4.698354885,-0.931348327,-0.327597245,0.098829989,22.08119327,-10.30428491,-109.3791139,3,5.190999985,1.767517447,16.81,5.190999985,0,0,1,0,1,0
"61",1740497624,2.02502e+13,18.35050216,-64.69912462,0.3007,4.698354885,-0.970789227,-0.206490251,0.151459585,13.99453242,-8.295414562,-102.0080904,3,5.168000221,1.751767516,16.42,5.168000221,0,0,1,0,1,0
"71",1740497625,2.02502e+13,18.35050094,-64.69913393,0.3627,4.698354885,-0.983016691,-0.077688573,0.077167081,13.19944518,-5.141801543,-94.51877161,3,5.143000126,1.979115009,16.73,5.143000126,0,0,1,0,1,0
"81",1740497626,2.02502e+13,18.35050085,-64.69914307,0.3717,4.698354885,-0.956565212,0.00749971,0.006172781,15.48611906,-5.129816264,-89.55082802,3,5.107999802,2.138595819,16.56,5.107999802,0,0,1,0,1,0
"91",1740497627,2.02502e+13,18.35050097,-64.6991521,0.3187,4.698354885,-0.945025529,0.026327425,-0.071319949,8.276949139,4.746589581,-88.40424375,3,5.045000076,1.15879643,16.76,5.045000076,0,0,1,0,1,0
"101",1740497628,2.02502e+13,18.3505011,-64.69916103,0.2357,4.698354885,-0.941049419,-0.008410784,-0.084448821,9.307207558,-10.53546726,-90.51210918,3,4.988999844,1.83005929,16.53,4.988999844,0,0,1,0,1,0
"111",1740497629,2.02502e+13,18.3505009,-64.69916993,0.3407,4.698354885,-0.948809676,-0.059151503,0.10705358,5.150237256,-3.61208707,-93.56739895,3,4.998000145,2.04278779,16.64,4.998000145,0,0,1,0,1,0
"121",1740497630,2.02502e+13,18.35049989,-64.69917902,0.2927,4.698354885,-0.963474745,-0.147051883,-0.048551779,0.146891435,0.963705992,-98.6779259,3,4.962999821,1.314490795,16.45,4.962999821,0,0,1,0,1,0
"131",1740497631,2.02502e+13,18.35049867,-64.69918812,0.2657,4.698354885,-0.957758767,-0.154672541,-0.034089391,8.735543572,-4.799745547,-99.17377049,3,4.923999786,2.610526323,16.62,4.923999786,0,0,1,0,1,0
"141",1740497632,2.02502e+13,18.35049676,-64.69919721,0.1917,4.698354885,-0.958288324,-0.230892564,-0.054767227,-1.217066934,7.806791192,-103.5468297,3,4.948999882,0.615053058,16.45,4.948999882,0,0,1,0,1,0
"151",1740497633,2.02502e+13,18.35049485,-64.69920629,0.1297,4.698354885,-0.954939622,-0.23468944,-0.034181253,8.731316537,-8.770754063,-103.8076064,3,4.940999985,1.173167944,16.62,4.940999985,0,0,1,0,1,0
"161",1740497634,2.02502e+13,18.3504925,-64.69921527,0.2087,4.698354885,-0.953507373,-0.266644221,0.066573147,4.431831726,-3.756820538,-105.6234575,3,4.953000069,1.416162968,16.59,4.953000069,0,0,1,0,1,0
"171",1740497635,2.02502e+13,18.35049004,-64.69922431,0.1867,4.698354885,-0.954006249,-0.277453881,-0.083364381,4.516749791,-0.161334862,-106.2160671,3,4.967000008,0.996815503,16.59,4.967000008,0,0,1,0,1,0
"181",1740497636,2.02502e+13,18.35048771,-64.69923334,0.2047,5.12232307,-0.944409332,-0.282459477,0.043109494,12.9564577,-8.802637398,-106.6512186,3,4.977000237,1.664718747,16.37,4.977000237,0,0,1,0,1,0
"191",1740497637,2.02502e+13,18.35048473,-64.69924224,0.1387,5.12232307,-0.933599439,-0.350950994,-0.066056926,11.9766078,4.775477022,-110.6018697,3,4.980999947,0.693380177,16.48,4.980999947,0,0,1,0,1,0
"201",1740497638,2.02502e+13,18.35048192,-64.69925118,0.1427,5.12232307,-0.956478029,-0.233528221,-0.01326064,11.69430232,-10.64009213,-103.7206174,3,4.998000145,2.889162779,16.64,4.998000145,0,0,1,0,1,0
"211",1740497639,2.02502e+13,18.35048039,-64.69926022,0.2217,5.12232307,-0.95438056,-0.183148117,0.085751202,4.526747057,-5.100022115,-100.8631795,3,5.024000168,1.504663944,16.84,5.024000168,0,0,1,0,1,0
"221",1740497640,2.02502e+13,18.35047816,-64.69926924,0.1557,5.12232307,-0.94933869,-0.262672204,-0.077785789,1.496132342,8.115636235,-105.4662541,3,5.053999901,0.444917023,16.45,5.053999901,0,0,1,0,1,0
"231",1740497641,2.02502e+13,18.35047608,-64.69927828,0.1297,5.12232307,-0.946705581,-0.236288296,-0.028886206,8.540234243,-9.998815685,-104.0141719,3,5.071000099,1.670333147,16.73,5.071000099,0,0,1,0,1,0
"241",1740497642,2.02502e+13,18.35047325,-64.6992872,0.1697,5.12232307,-0.935191598,-0.349159356,0.037099886,4.849849271,3.099731986,-110.4734568,3,5.071000099,0.703695536,16.59,5.071000099,0,0,1,0,1,0
"251",1740497643,2.02502e+13,18.35047029,-64.69929611,0.1207,5.12232307,-0.936428291,-0.328065703,-0.040125348,5.794240656,-8.586671008,-109.3072972,3,5.116000175,2.12827611,16.48,5.116000175,0,0,1,0,1,0
"261",1740497644,2.02502e+13,18.35046983,-64.69933183,0.1297,5.12232307,-1.129768718,-0.249429529,0.007181981,5.441303311,-3.081839445,-116.5463138,1,5.149000168,1.330644965,16.76,5.149000168,0,0,1,0,1,0
"271",1740497645,2.02502e+13,18.3504675,-64.69934233,0.1337,5.12232307,-1.07813811,-0.381365246,0.005091386,2.476500907,-3.219594164,-118.7500751,1,5.172999859,1.75498426,16.81,5.172999859,0,0,1,0,1,0
"281",1740497646,2.02502e+13,18.3504645,-64.69935283,0.0727,5.12232307,-1.10172116,-0.503942218,-0.088292628,6.661749696,0.648424561,-122.9286361,1,5.184999943,0.782254338,16.51,5.184999943,0,0,1,0,1,0
"291",1740497647,2.02502e+13,18.35046067,-64.69936267,0.1337,5.12232307,-0.915266815,-0.481137316,0.071869024,1.080817418,-12.17258735,-117.5434779,1,5.206999779,1.086531997,16.34,5.206999779,0,0,1,0,1,0
"301",1740497648,2.02502e+13,18.35045347,-64.69937388,0.2177,5.12232307,-0.773384758,-0.601039281,0.00998104,0.837993808,5.472559121,-127.8527643,3,5.19299984,0.968919396,16.51,5.19299984,0,0,1,0,1,0
"311",1740497649,2.02502e+13,18.3504481,-64.69938111,0.0987,5.12232307,-0.773609315,-0.585744233,-0.096712476,1.637187538,-2.541739268,-127.1315097,3,5.197999954,0.602808833,16.84,5.197999954,0,0,1,0,1,0
"321",1740497650,2.02502e+13,18.35044298,-64.69938854,0.1167,5.12232307,-0.776755125,-0.570876101,-0.055732495,-5.031458517,-3.838861384,-126.3140678,3,5.202000141,0.587603271,16.73,5.202000141,0,0,1,0,1,0
"331",1740497651,2.02502e+13,18.35043788,-64.69939591,0.2177,5.12232307,-0.772684291,-0.568599842,0.134230606,2.457277759,-3.763852647,-126.3485056,3,5.210999966,0.864956796,16.62,5.210999966,0,0,1,0,1,0
"341",1740497652,2.02502e+13,18.35043277,-64.69940313,0.0907,5.12232307,-0.773192333,-0.554116617,-0.127262348,-1.847148695,-0.454430897,-125.6277292,3,5.235000134,0.750712335,16.59,5.235000134,0,0,1,0,1,0
"351",1740497653,2.02502e+13,18.35042803,-64.69941068,0.0907,5.12232307,-0.795051913,-0.526621514,-0.027733007,-6.610996676,-3.185845761,-123.5194898,3,5.245999813,0.878440499,16.42,5.245999813,0,0,1,0,1,0
"361",1740497654,2.02502e+13,18.35042328,-64.69941815,0.0597,5.12232307,-0.774109732,-0.534680534,-0.034070354,2.524988864,0.007216658,-124.6330296,3,5.296999931,1.025458217,16.59,5.296999931,0,0,1,0,1,0
"371",1740497655,2.02502e+13,18.35042569,-64.69943276,0.0857,5.12232307,-0.697942831,-0.614140257,0.007515443,4.372976819,-3.237872397,-131.345537,3,5.295000076,0.898058534,16.59,5.295000076,0,0,1,0,1,0
